Neu...,Command + n
Zeichnung(en) aktualisieren,Option + a
Organisator,o
Grundriss,F5
Fangpunktvarianten,Option + c
Parallel/Lotrecht,p
Maß,q
Wendestatus ändern,Shift + c
Nach Transparentpause suchen...,Command + t
Auswahl- und Elementinformation...,Option + e
Ebenen-Umschalter,u
Verschieben,v
Widerrufen,Command + z
Wiederausführen,Command + Shift + z
Letzten Befehl wiederholen,Command + b
Ausschneiden,Command + x
Kopieren,Command + c
Einfügen,Command + v
Alle Elemente aktivieren,Command + a
Suchen & Ersetzen...,Command + f
Such-Auswahl,Command + h
Erneut ersetzen,Command + t
Gehe zu Zeile...,Command + l
Kommentar,Command + m
Unkommentiert,Command + u
Erneut suchen,Command + g
